ref	value
C1	100nF
C2	100uF,63V.,low-ESR
C3	1000uF,25V.,low-ESR
C4	100nF
C5	100uF,25V.,low-ESR
D1	SB560
D2	SB560
D3	SB560
D4	SB560
D5	RED
D6	8V7, Zener
D7	SB560
D8	YELLOW
D9	GREEN
DRILL_HOLE1	M2_5_DRILL_HOLE
DRILL_HOLE2	M2_5_DRILL_HOLE
DRILL_HOLE3	M2_5_DRILL_HOLE
DRILL_HOLE4	M2_5_DRILL_HOLE
F1	T.2.5A.
F2	T.2.5A.
IC1	LM2576TV-ADJG
L1	100uH,>=3.6A.,toroid
L2	22uH,>=3.6A.,toroid
P1	CONN_2
P2	MOLEX_15-24-4449
P3	MOLEX_15-24-4449
P4	MOLEX_15-24-4449
P5	MOLEX_15-24-4449
Q1	BC547
R1	20K
R2	10K
R3	20K
R4	1K8,>=1_W.
R5	2K87;0.1%
R6	1K;0.1%
R7	270R
R8	196R;0.1%
R9	270R
